,Ciś. pow. za turb.[Pa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Moment obrotowy[Nm],Obroty[obr/min],Temp. oleju w misce[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Zużycie paliwa średnie[g/s],Rotation,Temp. spalin 1...4/6 - srednia[°C],CO,HC,LAMBDA,CO2,O2,NO,PM,Сalorific value MJ/kg,Cetane number,Density at 15 °C,Viscosity at 40 °C 
116562.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116576.0,57274.0,66.1999969482422,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116577.0,57100.0,66.1999969482422,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116582.0,57100.0,66.1999969482422,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116584.0,57100.0,66.1999969482422,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116602.0,57100.0,66.1999969482422,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116622.0,57100.0,66.1999969482422,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116625.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116643.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116663.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116675.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.75,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116676.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116683.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116703.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116723.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116730.0,57100.0,66.3000030517578,505.899993896484,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116733.0,57100.0,66.3000030517578,505.899993896484,72.57834528760473,288.327653467721,2404.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116734.0,57100.0,66.3000030517578,505.899993896484,72.57834528760473,288.327653467721,2404.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116743.0,57100.0,66.3000030517578,505.899993896484,72.57834528760473,288.327653467721,2404.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116761.0,57100.0,66.3000030517578,505.899993896484,72.57834528760473,288.327653467721,2404.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116763.0,57100.0,66.3000030517578,505.899993896484,72.57834528760473,288.327653467721,2404.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116777.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2404.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116783.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116784.0,57265.0,66.3000030517578,509.100006103516,72.57834528760473,288.327653467721,2405.0,83.0,51.0999984741211,74.0,5.21460008621216,2400.0,477.0,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
