,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
455,0.055626154,0.007242433,0.003127003,0.006254005,30,100,400,"{'max_depth': 30, 'max_leaf_nodes': 100, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
941,0.058588982,0.00677843,0.000402546,0.000805092,400,70,400,"{'max_depth': 400, 'max_leaf_nodes': 70, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
626,0.054117584,0.005678395,0.000399733,0.000799465,100,50,400,"{'max_depth': 100, 'max_leaf_nodes': 50, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
347,0.054117537,0.006348672,0.003526783,0.006103307,20,70,400,"{'max_depth': 20, 'max_leaf_nodes': 70, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
923,0.055192375,0.010715264,0.006248569,0.007652903,400,50,400,"{'max_depth': 400, 'max_leaf_nodes': 50, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
491,0.055041075,0.007026543,0.006648111,0.007362462,30,1000,400,"{'max_depth': 30, 'max_leaf_nodes': 1000, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
1049,0.054595327,0.009756191,0.00624814,0.007652378,1000,100,400,"{'max_depth': 1000, 'max_leaf_nodes': 100, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
950,0.055955219,0.007174884,0.003524017,0.00609814,400,100,400,"{'max_depth': 400, 'max_leaf_nodes': 100, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
833,0.05532136,0.006403739,0.003127003,0.006254005,300,60,400,"{'max_depth': 300, 'max_leaf_nodes': 60, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
293,0.055726576,0.00729765,0.003524303,0.006098388,15,1000,400,"{'max_depth': 15, 'max_leaf_nodes': 1000, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
