,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
562,0.046838188,6.62E-05,0.003407478,0.006814957,50,200,300,"{'max_depth': 50, 'max_leaf_nodes': 200, 'min_samples_split': 300}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
563,0.047141886,0.000540924,0.006249619,0.007654188,50,200,400,"{'max_depth': 50, 'max_leaf_nodes': 200, 'min_samples_split': 400}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
564,0.046459484,0.002709273,0.003724575,0.006062137,50,200,1000,"{'max_depth': 50, 'max_leaf_nodes': 200, 'min_samples_split': 1000}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
565,0.050614309,0.006060912,0.003127718,0.006255436,50,200,2000,"{'max_depth': 50, 'max_leaf_nodes': 200, 'min_samples_split': 2000}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
968,0.047514725,0.001273863,0.003122377,0.006244755,400,300,400,"{'max_depth': 400, 'max_leaf_nodes': 300, 'min_samples_split': 400}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
567,0.050213289,0.006162097,0.003125095,0.006250191,50,300,10,"{'max_depth': 50, 'max_leaf_nodes': 300, 'min_samples_split': 10}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
568,0.049416876,0.007681483,0.000399733,0.000799465,50,300,50,"{'max_depth': 50, 'max_leaf_nodes': 300, 'min_samples_split': 50}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
569,0.049998426,0.006255561,0,0,50,300,100,"{'max_depth': 50, 'max_leaf_nodes': 300, 'min_samples_split': 100}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
570,0.046749592,0.006724584,0.006649828,0.007364294,50,300,200,"{'max_depth': 50, 'max_leaf_nodes': 300, 'min_samples_split': 200}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
612,0.04831357,0.002883829,0.003127718,0.006255436,100,40,10,"{'max_depth': 100, 'max_leaf_nodes': 40, 'min_samples_split': 10}",-22.98814229,-10.59570864,-71.27509881,-12.15358554,-71.47611519,-37.6977301,27.82737447,1,-736.3272727,-162.6216827,-8691.128967,-282.5456804,-7303.257708,-3435.176262,3755.517856,1,-27.13535098,-12.75232068,-93.22622467,-16.80909517,-85.45909962,-47.07641822,34.91399589,1,0.020393997,-0.257081067,0.361441913,0.574947565,0.17402867,0.174746215,0.284716114,1
