,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
81,1.826152515,0.125367665,0.017873573,0.004808526,100,50,"{'max_depth': 100, 'n_estimators': 50}",-0.837965421,-1.364628797,-5.076552592,-0.527337098,-1.29084594,-1.81946597,1.656977345,14,-0.939254967,-2.900711837,-38.18491525,-0.504553386,-2.383181064,-8.982523302,14.62798403,3,-0.969151674,-1.703147626,-6.179394408,-0.710319214,-1.543755507,-2.221153686,2.012212614,11,-0.45260968,-1.050502544,-6.275071515,-1.756198443,-1.113411604,-2.129558757,2.11346869,12
71,1.83424325,0.112617965,0.014037704,0.003172458,50,50,"{'max_depth': 50, 'n_estimators': 50}",-0.837965421,-1.364628797,-5.076552592,-0.527337098,-1.29084594,-1.81946597,1.656977345,14,-0.939254967,-2.900711837,-38.18491525,-0.504553386,-2.383181064,-8.982523302,14.62798403,3,-0.969151674,-1.703147626,-6.179394408,-0.710319214,-1.543755507,-2.221153686,2.012212614,11,-0.45260968,-1.050502544,-6.275071515,-1.756198443,-1.113411604,-2.129558757,2.11346869,12
51,1.777347326,0.086211164,0.018302155,0.005364808,8,50,"{'max_depth': 8, 'n_estimators': 50}",-0.824918487,-1.458044314,-5.071302676,-0.515726844,-1.212417979,-1.81648206,1.659059416,13,-0.911679893,-3.293715764,-38.11290882,-0.487511942,-2.177676281,-8.996698541,14.59143969,6,-0.954819299,-1.814859709,-6.173565325,-0.698220554,-1.475695186,-2.223432015,2.013218472,13,-0.409963306,-1.328315576,-6.261352697,-1.663107001,-0.931169391,-2.118781594,2.113000421,10
30,0.341988087,0.004270656,0.004124165,0.006066793,6,10,"{'max_depth': 6, 'n_estimators': 10}",-0.703985206,-1.328238509,-5.275282891,-0.548400903,-1.117873776,-1.794756257,1.762558226,10,-0.618553803,-2.680176927,-41.17399974,-0.558820304,-2.425727232,-9.491455601,15.86582489,35,-0.786481915,-1.637124591,-6.416696949,-0.747542845,-1.557474633,-2.229064187,2.126670744,14,0.043372381,-0.894607226,-6.844558269,-2.052639611,-1.151141664,-2.179914878,2.426045889,16
42,3.441215801,0.143107069,0.024571037,0.009054243,7,100,"{'max_depth': 7, 'n_estimators': 100}",-0.897283354,-1.226580508,-5.137987578,-0.496092061,-1.256993608,-1.802987422,1.690021039,11,-1.122638338,-2.470528406,-39.09473622,-0.458892723,-2.554301659,-9.14021947,14.99852798,13,-1.059546289,-1.571791464,-6.252578366,-0.677416211,-1.598218276,-2.231910121,2.039312796,15,-0.736222192,-0.746407456,-6.448412548,-1.506770233,-1.265161824,-2.140594851,2.174462278,14
32,3.3018929,0.08589478,0.020603228,0.006424738,6,100,"{'max_depth': 6, 'n_estimators': 100}",-0.910019108,-1.305450254,-5.118743806,-0.5064755,-1.18027089,-1.804191912,1.67975521,12,-1.157424308,-2.683860074,-38.80332374,-0.470003215,-2.508942306,-9.124710729,14.86239977,12,-1.075836562,-1.638249088,-6.229231393,-0.685567805,-1.583964111,-2.242569792,2.023756769,16,-0.790020616,-0.897210829,-6.39289202,-1.567462959,-1.224937024,-2.17450469,2.126652103,15
0,0.229171467,0.005947895,0.000694418,0.001388836,3,10,"{'max_depth': 3, 'n_estimators': 10}",-0.803411688,-0.983088738,-5.538858387,-0.789531587,-1.118266873,-1.846631455,1.850109635,18,-0.877202332,-1.587743921,-42.72286458,-0.882990249,-2.504336282,-9.715027472,16.5146974,70,-0.936590803,-1.26005711,-6.536272988,-0.939675609,-1.582509489,-2.2510212,2.155906081,17,-0.356641853,-0.122370346,-7.139651301,-3.823466488,-1.220852389,-2.532596476,2.651638762,66
72,3.625701618,0.208450183,0.026673031,0.006191857,50,100,"{'max_depth': 50, 'n_estimators': 100}",-0.903495641,-1.279005443,-5.142620215,-0.50701389,-1.423816398,-1.851190317,1.676215394,19,-1.139575867,-2.597657094,-39.16119491,-0.472567697,-2.854399045,-9.245078922,14.98438611,17,-1.067509188,-1.611724882,-6.257890612,-0.687435595,-1.689496684,-2.262811392,2.030951384,18,-0.762417015,-0.836274259,-6.461074397,-1.581471824,-1.531289022,-2.234505304,2.140418004,18
82,3.644701576,0.210811175,0.025493431,0.008104487,100,100,"{'max_depth': 100, 'n_estimators': 100}",-0.903495641,-1.279005443,-5.142620215,-0.50701389,-1.423816398,-1.851190317,1.676215394,19,-1.139575867,-2.597657094,-39.16119491,-0.472567697,-2.854399045,-9.245078922,14.98438611,17,-1.067509188,-1.611724882,-6.257890612,-0.687435595,-1.689496684,-2.262811392,2.030951384,18,-0.762417015,-0.836274259,-6.461074397,-1.581471824,-1.531289022,-2.234505304,2.140418004,18
52,3.526575994,0.161202764,0.021387005,0.008092069,8,100,"{'max_depth': 8, 'n_estimators': 100}",-0.897594534,-1.373634783,-5.143237493,-0.504273744,-1.292281355,-1.842204382,1.679353361,17,-1.123341761,-2.941451518,-39.16779917,-0.46704173,-2.554641497,-9.250855135,14.98588164,21,-1.059878182,-1.715066039,-6.258418264,-0.683404514,-1.598324591,-2.263018318,2.032142521,20,-0.737310074,-1.079301274,-6.462332655,-1.551285403,-1.265463194,-2.21913852,2.138002122,17
